date,mode,n,success,success_rate,WA,TLE,COMPLEXITY,RE,exception,avg_success_steps,n_iter,rag_k,total_runtime_sec
20251218_063138,agent,200,94,0.47,76,4,14,7,5,1.1382978723404256,2,0,289.1102452278137
20251218_063138,agent,200,95,0.475,71,2,16,11,5,1.1473684210526316,2,3,287.0547478199005
20251218_063138,baseline_repeated,200,96,0.48,70,4,18,7,5,1.0833333333333333,3,0,355.1056716442108
20251218_063138,baseline_repeated,200,96,0.48,68,4,17,8,7,1.21875,3,3,399.67695212364197
20251218_063138,baseline_single,200,81,0.405,84,5,17,7,6,1,1,0,158.22077679634094
20251218_063138,baseline_single,200,83,0.415,79,4,21,9,4,1,1,3,159.6895875930786
20251218_183247,agent,50,25,0.5,23,0,2,0,0,1.28,3,0,471.69212889671326
20251218_183247,agent,50,25,0.5,23,1,0,1,0,1.44,3,5,519.5618431568146
20251218_183247,baseline_repeated,50,24,0.48,18,2,5,1,0,1.25,3,0,364.6350109577179
20251218_183247,baseline_repeated,50,20,0.4,24,1,3,2,0,1,3,5,402.61935806274414
20251218_183247,baseline_single,50,19,0.38,25,1,3,2,0,1,1,0,165.5802400112152
20251218_183247,baseline_single,50,20,0.4,19,0,7,4,0,1,1,5,186.77943992614746
20251218_200247,agent,200,106,0.53,80,2,11,0,1,1.2452830188679245,3,0,2095.675101041794
20251218_200247,agent,200,107,0.535,78,3,9,2,1,1.1495327102803738,3,5,2140.153626
20251218_200247,baseline_repeated,200,100,0.5,73,4,20,2,1,1.17,3,0,1529.3357360363007
20251218_200247,baseline_repeated,200,99,0.495,77,3,15,5,1,1.202020202020202,3,5,1620.4597690105438
20251218_200247,baseline_single,200,83,0.415,85,4,25,2,1,1,1,0,698.6897327899933
20251218_200247,baseline_single,200,93,0.465,88,2,16,0,1,1,1,5,669.6668500900269
20251219_021526,agent,500,270,0.54,165,7,32,11,15,1.2481481481481482,3,0,1091.3784782886505
20251219_021526,agent,500,156,0.312,93,3,17,10,221,1.1666666666666667,3,5,606.2679328918457
20251219_021526,baseline_repeated,500,258,0.516,179,6,36,7,14,1.2403100775193798,3,0,806.2935414
20251219_021526,baseline_repeated,500,263,0.526,181,3,33,11,9,1.1977186311787071,3,5,814.7765934467316
20251219_021526,baseline_single,500,217,0.434,197,14,42,19,11,1,1,0,351.0047359466553
20251219_021526,baseline_single,500,216,0.432,211,10,40,15,8,1,1,5,356.75703048706055
20251219_033312,agent,200,101,0.505,54,0,17,23,5,1.2178217821782178,3,0,4882.940258264542
20251219_033312,agent,200,100,0.5,55,3,17,16,9,1.25,3,5,4524.014961004257
20251219_033312,baseline_repeated,200,90,0.45,62,3,10,27,8,1.1444444444444444,3,0,4395.932761
20251219_033312,baseline_repeated,200,97,0.485,68,4,16,10,5,1.2989690721649485,3,5,3256.9794647693634
20251219_033312,baseline_single,200,85,0.425,79,2,18,12,4,1,1,0,6900.852506399155
20251219_033312,baseline_single,200,86,0.43,76,3,16,14,5,1,1,5,3089.622478723526
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
